,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
89,1,전통시장,2130243,도림시장,25319,12452,12868,2580,3667,5326,4174,4191,5383,7656,5060,2608,2511,3896,3588,3535,3530,3537,3504,3480,3729,4004
90,1,전통시장,2130242,대림중앙 골목형상점가,378540,193652,184887,25586,34068,60685,67856,90415,99930,100739,72421,43066,44782,67517,50016,52336,52469,52212,51096,50727,57740,61957
91,1,전통시장,2130241,선유도역 골목형상점가,314256,158438,155819,30600,56915,76654,58408,42351,49326,63379,65837,46230,45158,56569,37083,46584,46255,46857,47790,47826,40262,38681
92,1,전통시장,2130240,영등포유통상가,26113,13259,12854,1866,4216,5411,5159,4389,5071,3780,5533,4689,4695,4877,2539,4013,3934,3950,4122,4083,3139,2872
93,1,전통시장,2130239,양남시장,22002,11086,10916,1745,3744,4883,4280,3278,4074,3882,4659,3670,3654,3934,2203,3305,3240,3263,3376,3352,2828,2636
94,1,전통시장,2130238,은행나무시장,362042,168422,193621,55357,43011,46334,54431,58666,104243,83138,73580,46162,49897,66468,42799,49744,49418,50121,49515,49456,56169,57620
95,1,전통시장,2130237,박미시장(기능상실),11937,6613,5323,1332,1448,2023,2203,2276,2653,3084,2699,1358,1292,1822,1682,1735,1801,1787,1787,1795,1546,1483
96,1,전통시장,2130236,비단길현대시장(현대시장),511797,237758,274039,54208,66947,72235,77629,91897,148883,133829,99055,59012,59645,90432,69824,71714,70887,71383,71658,72158,76213,77785
97,1,전통시장,2130235,대명여울빛거리시장(대명시장),167566,81648,85919,21506,24436,26668,26658,30226,38073,23391,27887,24996,29835,40835,20621,23719,24363,24206,24549,24720,24879,21131
98,1,전통시장,2130234,푸른터시장(기능상실),105423,52571,52851,11059,16569,20723,17588,18359,21125,38095,22333,8674,7659,12684,15978,14958,15062,15145,14849,15093,15079,15237
99,1,전통시장,2130233,남문시장,320455,154418,166038,25501,43229,53456,49950,64025,84297,83853,61658,35970,37000,54662,47312,45630,45908,47865,46971,45813,44173,44097
100,1,전통시장,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),134998,66810,68187,8382,23561,26701,22504,25044,28806,26451,25874,19159,20338,27379,15796,19102,18737,18801,18981,19341,20689,19347
101,1,전통시장,2130231,독산동 우시장,142670,75018,67653,11429,24260,31480,23232,24800,27470,27489,29305,20736,21207,26597,17337,21125,21022,20952,21352,21398,19042,17781
102,1,전통시장,2130230,가리봉시장,65572,39022,26551,1161,11456,12900,12240,15414,12401,17154,12509,7541,7838,11479,9050,9341,9183,9346,9308,9285,9346,9761
103,1,전통시장,2130229,남구로시장,699633,344133,355500,64233,64088,98105,114936,139526,218744,157513,131908,90526,97060,132429,90196,99963,98717,98278,99029,99202,100758,103685
104,1,전통시장,2130228,구로시장,155602,80898,74704,11670,17811,26845,27926,28607,42743,19612,26841,27228,31508,36018,14396,21608,21630,21396,21630,21317,23645,24374
