,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
710,2022,3,발달상권,2120067,장안동사거리,CS100003,일식음식점,14489,10375,4114,1663.0,1851.0,2271.0,2058.0,2532.0,2049.0,2065.0,6.0,51.0,4733.0,2201.0,6170.0,1328.0,7579,5862,260.0,3127.0,3171.0,3358.0,2410.0,1111.0,14
711,2022,3,발달상권,2120066,장한평역(장한평),CS100003,일식음식점,1219,1159,60,159.0,279.0,230.0,262.0,229.0,60.0,5.0,5.0,0.0,663.0,32.0,333.0,186.0,531,371,0.0,169.0,235.0,283.0,159.0,54.0,10
712,2022,3,발달상권,2120065,회기역,CS100003,일식음식점,4450,3419,1031,554.0,654.0,785.0,648.0,778.0,532.0,499.0,709.0,0.0,7.0,75.0,1511.0,2155.0,2380,1828,57.0,1446.0,971.0,850.0,659.0,224.0,4
713,2022,3,발달상권,2120064,경희대학교(경희대),CS100003,일식음식점,13333,10859,2474,1926.0,2053.0,2083.0,2374.0,2423.0,1311.0,1163.0,260.0,27.0,6071.0,1625.0,4281.0,1069.0,6075,6383,451.0,5952.0,2188.0,1410.0,1932.0,526.0,11
714,2022,3,발달상권,2120063,청량리역(청량리),CS100003,일식음식점,2866,2292,574,455.0,492.0,332.0,520.0,493.0,381.0,193.0,0.0,6.0,1234.0,359.0,1206.0,61.0,1578,1261,35.0,1294.0,570.0,430.0,352.0,157.0,6
715,2022,3,발달상권,2120062,신설동역,CS100003,일식음식점,16433,10598,5835,489.0,1132.0,2333.0,2746.0,3898.0,2528.0,3307.0,0.0,13.0,7753.0,1990.0,6044.0,633.0,10651,4686,23.0,1853.0,2834.0,2338.0,3765.0,4523.0,8
716,2022,3,발달상권,2120061,올림픽대교북단,CS100003,일식음식점,585,517,68,99.0,91.0,123.0,112.0,92.0,40.0,28.0,0.0,0.0,143.0,92.0,205.0,145.0,235,132,0.0,6.0,24.0,97.0,144.0,98.0,*
717,2022,3,발달상권,2120060,강변역(테크노마트),CS100003,일식음식점,23219,17267,5952,3109.0,3395.0,3201.0,3495.0,4067.0,3121.0,2831.0,0.0,307.0,11658.0,5166.0,5968.0,120.0,12332,9099,368.0,5213.0,4884.0,4434.0,3700.0,2831.0,10
718,2022,3,발달상권,2120059,구삼강변맛길,CS100003,일식음식점,18482,13386,5096,2450.0,2455.0,2533.0,2668.0,3280.0,2834.0,2262.0,0.0,10.0,6300.0,3230.0,8236.0,706.0,7700,9229,580.0,3592.0,2875.0,4392.0,3757.0,1733.0,12
719,2022,3,발달상권,2120058,구의사거리,CS100003,일식음식점,1092,1001,91,105.0,238.0,238.0,224.0,196.0,91.0,0.0,0.0,0.0,595.0,7.0,448.0,42.0,455,497,0.0,119.0,196.0,252.0,238.0,147.0,*
